Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
77;5700165166;"Malaysian Journal of Science";journal;"13943065";0,165;Q3;9;10;63;375;29;63;0,32;37,50;Malaysia;"University of Malaya";"2006-ongoing";"Multidisciplinary (Q3)"
78;6400153122;"American Journal of Applied Sciences";journal;"15469239, 15543641";0,162;Q3;38;0;285;0;172;285;0,52;0,00;United States;"Science Publications";"2007-2016 (cancelled)";"Multidisciplinary (Q3)"
79;17700155802;"Gazi University Journal of Science";journal;"13039709";0,162;Q3;12;49;250;1350;100;248;0,49;27,55;Turkey;"Gazi University, Institute of Science & Technology Eti Mahallesi";"2009-ongoing";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q3)"
80;21100862487;"International Journal of Language and Culture";journal;"22143157, 22143165";0,159;Q3;4;13;38;593;17;38;0,19;45,62;Netherlands;"John Benjamins Publishing Company";"2014-ongoing";"Multidisciplinary (Q3)"
81;21100464312;"Metode";journal;"21749221, 21743487";0,159;Q3;3;30;90;489;16;82;0,28;16,30;Spain;"Research and Science Policy of the University of Valencia";"2015-ongoing";"History and Philosophy of Science (Q3); Multidisciplinary (Q3)"
82;145728;"Journal of Shanghai Jiaotong University (Science)";journal;"10071172";0,157;Q3;15;132;325;2535;135;325;0,41;19,20;China;"Shanghai Jiaotong University Press";"2005-ongoing";"Multidisciplinary (Q3)"
83;5800207553;"Linguistics in the Netherlands";journal;"09297332";0,156;Q3;13;0;35;0;6;34;0,14;0,00;Netherlands;"John Benjamins Publishing Company";"2014-ongoing";"Language and Linguistics (Q2); Linguistics and Language (Q2); Multidisciplinary (Q3); Social Sciences (miscellaneous) (Q3); Health Professions (miscellaneous) (Q4); Psychology (miscellaneous) (Q4)"
84;25451;"Transactions of Tianjin University";journal;"10064982";0,156;Q3;14;76;226;2140;112;226;0,53;28,16;China;"Tianjin Daxue/Tianjin University";"2004-ongoing";"Multidisciplinary (Q3)"
85;144725;"Shenyang Jianzhu Daxue Xuebao (Ziran Kexue Ban)/Journal of Shenyang Jianzhu University (Natural Science)";journal;"16712021";0,155;Q3;12;109;412;2236;56;412;0,12;20,51;China;"Shenyang Jianzhu University";"2005-ongoing";"Multidisciplinary (Q3)"
86;14086;"Journal of Applied Science and Engineering";journal;"15606686";0,153;Q3;24;52;164;1194;61;164;0,28;22,96;Taiwan;"Tamkang University";"1998-ongoing";"Engineering (miscellaneous) (Q3); Multidisciplinary (Q3)"
87;17600155110;"Research Journal of Applied Sciences";journal;"1815932X, 19936079";0,153;Q3;14;0;322;0;166;322;0,46;0,00;Pakistan;"Medwell Online";"2009-2016 (cancelled)";"Engineering (miscellaneous) (Q3); Multidisciplinary (Q3); Chemistry (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
88;21100201062;"Asian Journal of Applied Sciences";journal;"19963343";0,152;Q3;12;0;56;0;61;56;0,96;0,00;Pakistan;"Science Alert";"2011-2016 (cancelled)";"Multidisciplinary (Q3)"
89;21100268424;"Journal of Mathematical and Fundamental Sciences";journal;"23375760";0,151;Q3;8;24;72;556;47;72;0,48;23,17;Indonesia;"Institute for Research and Community Services, Institut Teknologi Bandung";"2013-ongoing";"Earth and Planetary Sciences (miscellaneous) (Q3); Multidisciplinary (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Medicine (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
90;33604;"Journal and Proceedings - Royal Society of New South Wales";journal;"00359173";0,149;Q4;5;23;65;488;15;59;0,24;21,22;Australia;"Royal Society of New South Wales";"1982-1997, 2009-ongoing";"Multidisciplinary (Q4)"
